State,Total Medicare Beneficiaries,Below 100% FPL,100%–119% FPL,120%–134% FPL,135%–174% FPL,Above 174% FPL
United States,61880,8251,2245,1750,4552,45080
Alabama,1045,155,47,35,93,715
Alaska,107,10,3,4,8,82
Arizona,1473,184,44,41,100,1105
Arkansas,614,92,31,23,58,410
California,6409,862,229,181,427,4710
Colorado,957,99,29,23,58,748
Connecticut,704,86,20,15,46,537
Delaware,231,23,6,6,10,186
District of Columbia,86,17,4,3,4,59
Florida,5028,655,172,141,393,3667
Georgia,1820,263,74,55,147,1281
Hawaii,300,33,7,6,16,237
Idaho,361,39,12,10,27,273
Illinois,2244,289,79,53,159,1664
Indiana,1260,158,49,41,109,903
Iowa,616,71,20,18,47,460
Kansas,533,60,18,15,42,398
Kentucky,899,146,49,34,79,591
Louisiana,879,158,39,32,79,571
Maine,341,41,14,10,28,247
Maryland,1078,131,29,19,60,838
Massachusetts,1295,172,45,28,88,962
Michigan,2077,270,72,57,155,1523
Minnesota,1037,119,31,24,67,798
Mississippi,583,112,31,26,54,360
Missouri,1221,164,48,35,95,880
Montana,238,28,8,6,19,177
Nebraska,352,44,14,8,26,260
Nevada,576,66,18,18,40,435
New Hampshire,300,29,11,7,18,235
New Jersey,1651,195,50,32,96,1278
New Mexico,457,70,21,15,38,313
New York,3804,620,145,106,264,2668
North Carolina,2063,274,80,63,174,1472
North Dakota,134,17,4,4,9,100
Ohio,2329,313,87,65,188,1675
Oklahoma,745,112,33,28,61,511
Oregon,868,111,31,24,63,638
Pennsylvania,2705,334,98,80,206,1987
Rhode Island,224,32,9,6,16,161
South Carolina,1128,154,40,36,90,809
South Dakota,173,19,7,6,10,130
Tennessee,1361,199,52,45,110,956
Texas,4348,605,165,134,323,3122
Utah,426,43,11,8,26,338
Vermont,152,18,6,5,10,113
Virginia,1555,182,48,39,100,1187
Washington,1370,161,38,31,84,1056
West Virginia,425,67,19,16,37,286
Wisconsin,1181,138,42,34,87,880
Wyoming,117,11,4,3,10,90
Data in this table represent the poverty universe. For more information on poverty and the poverty universe see: <https://www.census.gov/topics/income-poverty/poverty/guidance/poverty-measures.html>.,,,,,,
