year,county_name,state_name,NIPR,PCTUI,PCTIC,PCTELIG,PCTLIIC
2019,Broward County                               ,Florida                                                               ,130834,27.7,72.3,9.1,23.7
2019,Polk County                                  ,Florida                                                               ,213656,16.8,83.2,16.8,83.2
2019,Marion County                                ,Florida                                                               ,7883,21.3,78.7,4.4,16.3
2019,Putnam County                                ,Florida                                                               ,11518,24.8,75.2,14.7,44.4
2019,                                             ,Florida                                                               ,630346,18.1,81.9,8.8,39.7
2019,Flagler County                               ,Florida                                                               ,15134,24.6,75.4,9.8,30.1
2019,Jefferson County                             ,Florida                                                               ,2833,18.6,81.4,11.6,50.6
2019,                                             ,Florida                                                               ,2249586,17.0,83.0,9.5,46.5
2019,St. Lucie County                             ,Florida                                                               ,65350,22.8,77.2,14.4,48.7
2019,Dixie County                                 ,Florida                                                               ,2268,17.1,82.9,8.0,38.5
2019,Leon County                                  ,Florida                                                               ,115442,12.9,87.1,12.9,87.1
2019,Citrus County                                ,Florida                                                               ,30089,21.3,78.7,14.0,51.7
2019,Walton County                                ,Florida                                                               ,4940,24.4,75.6,9.8,30.3
2019,St. Lucie County                             ,Florida                                                               ,30065,32.8,67.2,11.1,22.8
2019,Nassau County                                ,Florida                                                               ,3174,10.5,89.5,1.8,15.4
2019,Jackson County                               ,Florida                                                               ,7937,22.4,77.6,16.3,56.6
2019,Lee County                                   ,Florida                                                               ,69451,23.9,76.1,13.5,43.1
2019,Monroe County                                ,Florida                                                               ,16006,27.0,73.0,15.9,43.1
2019,Flagler County                               ,Florida                                                               ,10244,33.3,66.7,5.7,11.4
2019,Hernando County                              ,Florida                                                               ,98774,18.5,81.5,18.5,81.5
2019,Baker County                                 ,Florida                                                               ,1940,12.5,87.5,4.8,33.8
2019,Glades County                                ,Florida                                                               ,1020,45.5,54.5,14.8,17.7
2019,                                             ,Florida                                                               ,520226,30.6,69.4,8.0,18.1
2019,Okaloosa County                              ,Florida                                                               ,48228,7.4,92.6,7.4,92.6
2019,Escambia County                              ,Florida                                                               ,10124,21.3,78.7,3.6,13.2
2019,Indian River County                          ,Florida                                                               ,34953,26.2,73.8,11.4,32.1
2019,Madison County                               ,Florida                                                               ,1673,19.2,80.8,9.1,38.3
2019,Union County                                 ,Florida                                                               ,580,12.8,87.2,8.2,56.0
2019,Calhoun County                               ,Florida                                                               ,1044,15.2,84.8,7.6,42.2
2019,Jackson County                               ,Florida                                                               ,10889,19.5,80.5,19.5,80.5
2019,Manatee County                               ,Florida                                                               ,29814,32.6,67.4,9.1,18.8
2019,Indian River County                          ,Florida                                                               ,30086,34.7,65.3,13.0,24.5
2019,Manatee County                               ,Florida                                                               ,18714,30.5,69.5,6.8,15.4
2019,Gilchrist County                             ,Florida                                                               ,1252,16.2,83.8,10.4,53.7
2019,Citrus County                                ,Florida                                                               ,3893,22.4,77.6,4.9,17.1
2019,Putnam County                                ,Florida                                                               ,11721,30.6,69.4,9.5,21.6
2019,Liberty County                               ,Florida                                                               ,1871,19.5,80.5,19.5,80.5
2019,Lake County                                  ,Florida                                                               ,94805,21.3,78.7,21.3,78.7
2019,Jackson County                               ,Florida                                                               ,6495,18.6,81.4,7.9,34.7
2019,Hernando County                              ,Florida                                                               ,19387,30.1,69.9,12.2,28.5
2019,Seminole County                              ,Florida                                                               ,282450,13.3,86.7,13.3,86.7
2019,Leon County                                  ,Florida                                                               ,238922,11.9,88.1,11.9,88.1
2019,Seminole County                              ,Florida                                                               ,38033,28.4,71.6,3.8,9.6
2019,Marion County                                ,Florida                                                               ,45236,25.1,74.9,10.7,32.1
2019,Franklin County                              ,Florida                                                               ,3047,20.6,79.4,8.5,32.6
2019,Manatee County                               ,Florida                                                               ,9688,33.8,66.2,4.9,9.5
2019,Sarasota County                              ,Florida                                                               ,44430,34.7,65.3,7.7,14.6
2019,Lake County                                  ,Florida                                                               ,30189,24.0,76.0,13.6,42.9
2019,Holmes County                                ,Florida                                                               ,2256,18.8,81.2,8.7,37.7
2019,                                             ,Florida                                                               ,417648,30.3,69.7,13.0,29.9
2019,Highlands County                             ,Florida                                                               ,7618,28.0,72.0,11.1,28.6
2019,Taylor County                                ,Florida                                                               ,2627,23.5,76.5,5.9,19.2
2019,Santa Rosa County                            ,Florida                                                               ,4268,25.4,74.6,5.6,16.4
2019,Gilchrist County                             ,Florida                                                               ,6943,17.2,82.8,8.8,42.2
