year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name
2020,        ,12,115,50,3,0,1,1,    8620,     752,    2629,     727,    5991,     863, 30.5,  8.0, 69.5,  8.0,  6.1,  1.7, 14.0,  2.0,Florida                                                               ,Sarasota County                              
2020,        ,12,129,50,1,0,1,1,    2390,     172,     707,     168,    1683,     199, 29.6,  6.7, 70.4,  6.7,  7.8,  1.9, 18.6,  2.2,Florida                                                               ,Wakulla County                               
2020,        ,12,125,50,5,0,2,1,    1138,      76,     159,      50,     979,      79, 14.0,  4.2, 86.0,  4.2,  6.2,  1.9, 38.0,  3.1,Florida                                                               ,Union County                                 
2020,        ,12,123,50,3,0,0,0,    3782,       0,     477,     128,    3305,     128, 12.6,  3.4, 87.4,  3.4, 12.6,  3.4, 87.4,  3.4,Florida                                                               ,Taylor County                                
2020,        ,12,53,50,5,0,1,3,    8807,     837,    3085,     672,    5722,     784, 35.0,  6.7, 65.0,  6.7,  6.3,  1.4, 11.7,  1.6,Florida                                                               ,Hernando County                              
2020,        ,12,89,50,4,0,0,0,   18720,       0,    1448,     373,   17272,     373,  7.7,  2.0, 92.3,  2.0,  7.7,  2.0, 92.3,  2.0,Florida                                                               ,Nassau County                                
2020,        ,12,63,50,0,0,2,2,    8334,     262,    1188,     251,    7146,     322, 14.3,  2.9, 85.7,  2.9,  7.9,  1.7, 47.5,  2.1,Florida                                                               ,Jackson County                               
2020,        ,12,53,50,0,0,2,1,   26994,    1196,    4970,     961,   22024,    1301, 18.4,  3.4, 81.6,  3.4,  6.9,  1.3, 30.6,  1.8,Florida                                                               ,Hernando County                              
2020,        ,12,99,50,5,0,1,3,   50368,    2860,   23797,    2812,   26571,    2758, 47.2,  4.7, 52.8,  4.7,  6.1,  0.7,  6.9,  0.7,Florida                                                               ,Palm Beach County                            
2020,        ,12,15,50,4,0,0,2,   12070,     470,    1005,     321,   11065,     532,  8.3,  2.6, 91.7,  2.6,  4.3,  1.4, 47.2,  2.3,Florida                                                               ,Charlotte County                             
2020,        ,12,99,50,5,0,0,3,  116283,    4360,   46680,    4157,   69603,    4367, 40.1,  3.1, 59.9,  3.1,  5.9,  0.5,  8.8,  0.6,Florida                                                               ,Palm Beach County                            
2020,        ,12,123,50,2,0,2,1,    1090,      81,     194,      66,     896,      90, 17.8,  5.8, 82.2,  5.8,  6.5,  2.2, 30.0,  3.0,Florida                                                               ,Taylor County                                
2020,        ,12,35,50,1,0,1,1,    7624,     535,    2511,     476,    5113,     569, 32.9,  5.8, 67.1,  5.8,  8.7,  1.6, 17.7,  2.0,Florida                                                               ,Flagler County                               
2020,        ,12,43,50,5,0,2,2,    1489,      93,     528,     126,     961,     131, 35.5,  8.0, 64.5,  8.0, 17.5,  4.2, 31.8,  4.3,Florida                                                               ,Glades County                                
2020,        ,12,69,50,5,0,1,2,   31698,    1744,   11219,    1779,   20479,    1948, 35.4,  5.2, 64.6,  5.2, 12.3,  1.9, 22.4,  2.1,Florida                                                               ,Lake County                                  
2020,        ,12,95,50,1,0,0,3,  159604,    5855,   50884,    5089,  108720,    6004, 31.9,  2.9, 68.1,  2.9,  5.7,  0.6, 12.1,  0.7,Florida                                                               ,Orange County                                
